Document,L0 Out of Scope-L0 Out of Scope,L0 Out of Scope-L0 Heading,L0 Out of Scope-L1 Background,L0 Out of Scope-L1 Analysis,L0 Out of Scope-L2 Introductory Summary,L0 Out of Scope-L2 Outcome,L0 Out of Scope-Not Marked,L0 Heading-L0 Out of Scope,L0 Heading-L0 Heading,L0 Heading-L1 Background,L0 Heading-L1 Analysis,L0 Heading-L2 Introductory Summary,L0 Heading-L2 Outcome,L0 Heading-Not Marked,L1 Background-L0 Out of Scope,L1 Background-L0 Heading,L1 Background-L1 Background,L1 Background-L1 Analysis,L1 Background-L2 Introductory Summary,L1 Background-L2 Outcome,L1 Background-Not Marked,L1 Analysis-L0 Out of Scope,L1 Analysis-L0 Heading,L1 Analysis-L1 Background,L1 Analysis-L1 Analysis,L1 Analysis-L2 Introductory Summary,L1 Analysis-L2 Outcome,L1 Analysis-Not Marked,L2 Introductory Summary-L0 Out of Scope,L2 Introductory Summary-L0 Heading,L2 Introductory Summary-L1 Background,L2 Introductory Summary-L1 Analysis,L2 Introductory Summary-L2 Introductory Summary,L2 Introductory Summary-L2 Outcome,L2 Introductory Summary-Not Marked,L2 Outcome-L0 Out of Scope,L2 Outcome-L0 Heading,L2 Outcome-L1 Background,L2 Outcome-L1 Analysis,L2 Outcome-L2 Introductory Summary,L2 Outcome-L2 Outcome,L2 Outcome-Not Marked,Not Marked-L0 Out of Scope,Not Marked-L0 Heading,Not Marked-L1 Background,Not Marked-L1 Analysis,Not Marked-L2 Introductory Summary,Not Marked-L2 Outcome,Not Marked-Not Marked
United_States-EN-1-77.txt,372,0,0,0,0,20,1,0,553,1,2,0,0,0,0,1,23953,0,1,0,0,0,226,2284,78890,0,0,2,0,0,0,0,692,0,0,0,1,0,0,0,1747,0,3,0,0,0,0,0,4
United_States-EN-1-80.txt,270,0,0,2,0,17,6,0,493,0,0,0,0,0,0,2,9553,0,0,0,5,0,86,0,34431,0,0,0,0,0,413,0,0,0,0,0,2,0,0,0,1263,0,1,0,0,0,0,2,3
United_States-EN-1-78.txt,767,0,0,2,0,16,1,0,10,0,0,0,0,0,0,0,2410,0,0,0,0,0,2,0,5617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,1,0,1,4,0,2,4
United_States-EN-1-79.txt,3586,0,0,0,0,0,1,0,616,0,1,0,0,0,0,2,962,0,0,0,0,0,22,0,42803,0,0,0,0,0,403,0,0,0,5,0,0,0,0,0,298,0,1,0,3,2,0,1,7
United_States-EN-1-81.txt,390,0,0,0,0,0,1,0,465,0,4,1,0,0,124,7,0,6492,0,0,1,0,184,0,32642,0,0,1,0,0,0,0,209,0,0,0,1,0,0,0,478,5,0,0,0,4,0,0,2
United_States-EN-1-84.txt,491,0,0,0,0,0,1,0,268,0,1,0,0,0,0,39,10833,0,0,0,0,0,910,0,48977,0,0,0,0,2,4,0,1302,0,0,0,2,0,2,0,554,3,2,0,1,4,0,0,6
United_States-EN-1-85.txt,407,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7344,0,0,0,0,0,0,0,6017,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,98,1,6,0,1,2,0,0,6
United_States-EN-1-86.txt,349,0,0,0,0,0,6,0,91,1,0,0,0,0,0,1,9007,0,0,0,2,0,79,0,19531,0,0,0,0,0,2,0,853,0,0,0,1,0,0,0,130,0,1,0,0,2,0,2,36
United_States-EN-1-87.txt,467,0,0,2,0,66,3,0,187,0,0,0,0,0,0,1,7493,0,1,0,3,0,9,0,29858,0,0,0,0,0,0,0,821,0,0,0,1,0,0,0,1788,0,0,2,0,3,0,2,6
United_States-EN-1-88.txt,3014,0,0,0,0,19,4,0,279,0,5,0,0,0,0,1,8422,0,1,0,0,0,11,1198,18479,0,0,1,0,0,0,0,219,0,0,0,2,0,0,0,212,0,4,0,3,2,0,2,13
United_States-EN-1-89.txt,7887,0,0,0,0,0,1,0,603,23,315,0,0,0,0,92,9876,0,0,0,22,0,183,2750,78596,0,0,1,3,0,0,0,0,0,1409,0,2,0,0,0,759,0,0,0,2,4,0,1,40
United_States-EN-1-95.txt,6658,0,162,0,0,0,2,0,543,1,46,0,0,0,0,32,18024,0,0,0,0,0,59,2751,55238,0,0,1,0,0,3,0,1262,0,0,0,2,0,0,0,689,0,2,0,38,5,0,1,13
United_States-EN-1-90.txt,383,0,0,0,0,0,1,0,52,0,0,0,0,0,0,0,3504,0,1,0,0,0,141,2386,14148,0,0,0,0,0,0,0,849,0,0,0,2,0,2,0,735,1,1,0,1,2,0,0,5
United_States-EN-1-91.txt,441,0,0,0,0,0,0,0,191,0,1,0,0,0,0,1,18328,0,4,0,0,0,5,1304,29859,0,0,2,0,0,0,0,1828,0,0,0,1,0,0,0,494,0,2,0,2,3,0,1,5
United_States-EN-1-92.txt,464,0,0,0,0,0,1,0,158,0,0,0,0,0,0,1,8508,0,0,0,3,0,9,3086,15135,0,0,1,0,0,219,0,0,0,0,0,0,0,0,0,271,0,1,0,3,3,0,2,4
United_States-EN-1-93.txt,305,0,0,0,0,0,0,0,1117,56,22,0,0,0,0,61,37973,0,1,0,0,0,261,0,50463,0,0,0,0,0,3,0,1022,0,0,0,2,0,1,0,614,0,2,0,1,151,0,0,5
United_States-EN-1-96.txt,523,0,0,0,0,19,1,0,283,0,1,0,0,0,0,1,3247,0,0,0,0,0,8,0,31890,0,0,0,0,0,553,0,0,0,0,0,2,0,0,0,547,0,2,0,1,2,0,0,5
United_States-EN-1-94.txt,309,0,0,0,0,0,0,0,127,0,0,0,0,0,0,4,3145,0,0,0,3,0,29,0,26917,0,0,0,0,0,1,0,299,0,0,0,2,0,0,0,971,0,1,0,0,0,0,1,2
United_States-EN-1-97.txt,439,0,0,0,0,0,3,0,290,0,1,0,0,0,0,2,11186,0,1,0,0,0,12,3020,37105,0,0,0,0,0,0,0,643,0,0,0,0,0,4,0,3152,0,0,0,4,2,0,1,6
United_States-EN-1-98.txt,337,0,0,0,0,19,4,0,80,0,0,0,0,0,0,2,4633,0,4,0,0,0,1,1611,5273,0,0,3,1,0,0,0,821,0,1,0,0,0,0,0,223,0,0,0,0,2,0,4,2
United_States-EN-1-99.txt,454,0,0,0,0,0,0,0,299,1,0,0,0,0,0,29,9929,0,2,0,0,0,74,0,21686,0,0,0,0,0,0,0,220,0,0,0,2,0,0,0,119,0,21,0,4,2,0,1,9
United_States-EN-1-100.txt,349,6,0,0,0,0,1,0,57,0,0,0,0,0,0,4,1992,0,0,0,5,0,2,0,2375,0,1,0,0,1,1,0,339,0,0,61,1,0,0,0,506,0,1,1,0,0,0,0,4
United_States-EN-1-101.txt,534,0,0,0,0,0,1,0,81,0,128,0,0,0,0,0,0,0,0,0,0,0,1,0,13955,0,0,0,0,0,890,0,0,0,1,0,0,0,204,0,364,5,1,1,0,3,0,0,3
United_States-EN-1-102.txt,346,0,0,0,0,0,0,0,156,0,0,0,0,0,0,2,4683,0,0,0,0,0,9,2656,17660,0,0,3,0,0,202,0,0,0,0,0,0,0,0,0,115,0,2,0,0,2,0,1,9
